[2026-05-01T07:18:16+02:00] SESSION_START symbol=TRBUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T07:18:16+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T07:18:18+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.10498687% BID:19.05 ASK:19.07 MID:19.06 P1:19.06 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:49+02:00] CHK MOM:0% RANGE:0.07% UP:33.33% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04999999 P3:19.04 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:50+02:00] CHK MOM:0% RANGE:0.07% UP:33.33% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04999999 P3:19.04 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:51+02:00] CHK MOM:-0.2% RANGE:0.21% UP:25% SPREAD:0.15789473% BID:19 ASK:19.03 MID:19.015 P1:19.015 P2:19.045 P3:19.04999999 P4:19.04 STATE:IDLE
[2026-05-01T07:18:51+02:00] CHK MOM:-0.1% RANGE:0.21% UP:29.41% SPREAD:0.0525486% BID:19.03 ASK:19.04 MID:19.035 P1:19.035 P2:19.015 P3:19.045 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:52+02:00] CHK MOM:-0.05% RANGE:0.21% UP:33.33% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.035 P3:19.015 P4:19.045 STATE:IDLE
[2026-05-01T07:18:52+02:00] CHK MOM:-0.05% RANGE:0.21% UP:33.33% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.035 P3:19.015 P4:19.045 STATE:IDLE
[2026-05-01T07:18:53+02:00] CHK MOM:-0.05% RANGE:0.21% UP:33.33% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.035 P3:19.015 P4:19.045 STATE:IDLE
[2026-05-01T07:18:53+02:00] CHK MOM:-0.05% RANGE:0.21% UP:33.33% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.035 P3:19.015 P4:19.045 STATE:IDLE
[2026-05-01T07:18:54+02:00] CHK MOM:-0.05% RANGE:0.21% UP:37.5% SPREAD:0.0525486% BID:19.03 ASK:19.04 MID:19.035 P1:19.035 P2:19.045 P3:19.035 P4:19.015 STATE:IDLE
[2026-05-01T07:18:54+02:00] CHK MOM:-0.02% RANGE:0.21% UP:41.17% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.035 P3:19.045 P4:19.035 STATE:IDLE
[2026-05-01T07:18:55+02:00] CHK MOM:-0.05% RANGE:0.21% UP:43.75% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04 P3:19.035 P4:19.045 STATE:IDLE
[2026-05-01T07:18:56+02:00] CHK MOM:-0.07% RANGE:0.21% UP:41.17% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.045 P3:19.04 P4:19.035 STATE:IDLE
[2026-05-01T07:18:56+02:00] CHK MOM:-0.1% RANGE:0.21% UP:41.17% SPREAD:0.10515247% BID:19.02 ASK:19.04 MID:19.03 P1:19.03 P2:19.04 P3:19.045 P4:19.04 STATE:IDLE
[2026-05-01T07:18:57+02:00] CHK MOM:-0.05% RANGE:0.21% UP:47.05% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.03 P3:19.04 P4:19.045 STATE:IDLE
[2026-05-01T07:18:57+02:00] CHK MOM:-0.05% RANGE:0.21% UP:47.05% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.03 P3:19.04 P4:19.045 STATE:IDLE
[2026-05-01T07:18:58+02:00] CHK MOM:-0.13% RANGE:0.21% UP:37.5% SPREAD:0.10515247% BID:19.02 ASK:19.04 MID:19.03 P1:19.03 P2:19.035 P3:19.03 P4:19.04 STATE:IDLE
[2026-05-01T07:18:58+02:00] CHK MOM:-0.13% RANGE:0.21% UP:35.29% SPREAD:0.10515247% BID:19.02 ASK:19.04 MID:19.03 P1:19.03 P2:19.03 P3:19.035 P4:19.03 STATE:IDLE
[2026-05-01T07:18:59+02:00] CHK MOM:-0.13% RANGE:0.21% UP:35.29% SPREAD:0.10515247% BID:19.02 ASK:19.04 MID:19.03 P1:19.03 P2:19.03 P3:19.035 P4:19.03 STATE:IDLE
[2026-05-01T07:18:59+02:00] CHK MOM:-0.13% RANGE:0.21% UP:35.29% SPREAD:0.10515247% BID:19.02 ASK:19.04 MID:19.03 P1:19.03 P2:19.03 P3:19.035 P4:19.03 STATE:IDLE
[2026-05-01T07:19:00+02:00] CHK MOM:-0.13% RANGE:0.21% UP:35.29% SPREAD:0.10515247% BID:19.02 ASK:19.04 MID:19.03 P1:19.03 P2:19.03 P3:19.035 P4:19.03 STATE:IDLE
[2026-05-01T07:19:00+02:00] CHK MOM:-0.05% RANGE:0.18% UP:42.85% SPREAD:0.21041557% BID:19.01 ASK:19.05 MID:19.03 P1:19.03 P2:19.03 P3:19.03 P4:19.035 STATE:IDLE
[2026-05-01T07:19:01+02:00] CHK MOM:-0.21% RANGE:0.26% UP:40% SPREAD:0.10531858% BID:18.99 ASK:19.01 MID:19 P1:19 P2:19.03 P3:19.03 P4:19.03 STATE:IDLE
[2026-05-01T07:19:02+02:00] CHK MOM:-0.31% RANGE:0.31% UP:33.33% SPREAD:0.10537407% BID:18.98 ASK:19 MID:18.99 P1:18.99 P2:19 P3:19.03 P4:19.03 STATE:IDLE
[2026-05-01T07:19:02+02:00] CHK MOM:-0.34% RANGE:0.34% UP:31.25% SPREAD:0.15814443% BID:18.97 ASK:19 MID:18.985 P1:18.985 P2:18.99 P3:19 P4:19.03 STATE:IDLE
[2026-05-01T07:19:03+02:00] CHK MOM:-0.28% RANGE:0.34% UP:35.29% SPREAD:0.15806111% BID:18.98 ASK:19.01 MID:18.995 P1:18.995 P2:18.985 P3:18.99 P4:19 STATE:IDLE
[2026-05-01T07:19:03+02:00] CHK MOM:-0.2% RANGE:0.34% UP:38.88% SPREAD:0.10526315% BID:19 ASK:19.02 MID:19.00999999 P1:19.00999999 P2:18.995 P3:18.985 P4:18.99 STATE:IDLE
[2026-05-01T07:19:04+02:00] CHK MOM:-0.23% RANGE:0.34% UP:36.84% SPREAD:0.15797788% BID:18.99 ASK:19.02 MID:19.005 P1:19.005 P2:19.00999999 P3:18.995 P4:18.985 STATE:IDLE
[2026-05-01T07:19:04+02:00] CHK MOM:-0.23% RANGE:0.34% UP:35% SPREAD:0.15797788% BID:18.99 ASK:19.02 MID:19.005 P1:19.005 P2:19.005 P3:19.00999999 P4:18.995 STATE:IDLE
[2026-05-01T07:19:05+02:00] CHK MOM:-0.23% RANGE:0.31% UP:35% SPREAD:0.10531858% BID:18.99 ASK:19.01 MID:19 P1:19 P2:19.005 P3:19.005 P4:19.00999999 STATE:IDLE
[2026-05-01T07:19:05+02:00] CHK MOM:-0.1% RANGE:0.31% UP:35% SPREAD:0.15806111% BID:18.98 ASK:19.01 MID:18.995 P1:18.995 P2:19 P3:19.005 P4:19.005 STATE:IDLE
[2026-05-01T07:19:06+02:00] CHK MOM:-0.02% RANGE:0.31% UP:38.09% SPREAD:0.21063717% BID:18.99 ASK:19.03 MID:19.00999999 P1:19.00999999 P2:18.995 P3:19 P4:19.005 STATE:IDLE
[2026-05-01T07:19:07+02:00] CHK MOM:-0.05% RANGE:0.31% UP:36.36% SPREAD:0.15797788% BID:18.99 ASK:19.02 MID:19.005 P1:19.005 P2:19.00999999 P3:18.995 P4:19 STATE:IDLE
[2026-05-01T07:19:07+02:00] CHK MOM:-0.23% RANGE:0.31% UP:28.57% SPREAD:0.10531858% BID:18.99 ASK:19.01 MID:19 P1:19 P2:19.005 P3:19.00999999 P4:18.995 STATE:IDLE
[2026-05-01T07:19:08+02:00] CHK MOM:-0.21% RANGE:0.31% UP:31.81% SPREAD:0.15797788% BID:18.99 ASK:19.02 MID:19.005 P1:19.005 P2:19 P3:19.005 P4:19.00999999 STATE:IDLE
[2026-05-01T07:19:08+02:00] CHK MOM:-0.21% RANGE:0.31% UP:31.81% SPREAD:0.15797788% BID:18.99 ASK:19.02 MID:19.005 P1:19.005 P2:19 P3:19.005 P4:19.00999999 STATE:IDLE
[2026-05-01T07:19:09+02:00] CHK MOM:-0.21% RANGE:0.31% UP:31.81% SPREAD:0.15797788% BID:18.99 ASK:19.02 MID:19.005 P1:19.005 P2:19 P3:19.005 P4:19.00999999 STATE:IDLE
[2026-05-01T07:19:09+02:00] CHK MOM:-0.18% RANGE:0.31% UP:31.81% SPREAD:0.10531858% BID:18.99 ASK:19.01 MID:19 P1:19 P2:19.005 P3:19 P4:19.005 STATE:IDLE
[2026-05-01T07:19:10+02:00] CHK MOM:-0.21% RANGE:0.31% UP:27.27% SPREAD:0.10531858% BID:18.99 ASK:19.01 MID:19 P1:19 P2:19 P3:19.005 P4:19 STATE:IDLE
[2026-05-01T07:19:10+02:00] CHK MOM:-0.23% RANGE:0.31% UP:26.08% SPREAD:0.15806111% BID:18.98 ASK:19.01 MID:18.995 P1:18.995 P2:19 P3:19 P4:19.005 STATE:IDLE
[2026-05-01T07:19:11+02:00] CHK MOM:-0.26% RANGE:0.31% UP:21.73% SPREAD:0.15806111% BID:18.98 ASK:19.01 MID:18.995 P1:18.995 P2:18.995 P3:19 P4:19 STATE:IDLE
[2026-05-01T07:19:11+02:00] CHK MOM:-0.26% RANGE:0.31% UP:21.73% SPREAD:0.15806111% BID:18.98 ASK:19.01 MID:18.995 P1:18.995 P2:18.995 P3:19 P4:19 STATE:IDLE
[2026-05-01T07:19:12+02:00] CHK MOM:-0.26% RANGE:0.31% UP:21.73% SPREAD:0.15806111% BID:18.98 ASK:19.01 MID:18.995 P1:18.995 P2:18.995 P3:19 P4:19 STATE:IDLE
[2026-05-01T07:19:13+02:00] CHK MOM:-0.23% RANGE:0.23% UP:20% SPREAD:0.15814443% BID:18.97 ASK:19 MID:18.985 P1:18.985 P2:18.995 P3:18.995 P4:19 STATE:IDLE
