[2026-05-01T02:03:32+02:00] SESSION_START symbol=XRPUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T02:03:32+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T02:03:34+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00730193% BID:1.3695 ASK:1.3696 MID:1.36954999 P1:1.36954999 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T02:04:23+02:00] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:24+02:00] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:24+02:00] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:25+02:00] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:25+02:00] CHK MOM:0% RANGE:0.01% UP:5.55% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:26+02:00] CHK MOM:0% RANGE:0.01% UP:5.26% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:26+02:00] CHK MOM:0% RANGE:0.01% UP:5% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:27+02:00] CHK MOM:0% RANGE:0.01% UP:5% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:27+02:00] CHK MOM:0% RANGE:0.01% UP:5% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:28+02:00] CHK MOM:0.02% RANGE:0.02% UP:11.11% SPREAD:0.00729022% BID:1.3717 ASK:1.3718 MID:1.37175 P1:1.37175 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
